Team Name,Team Year,Team Wins,Team Losses
DetroitRedWings,2001,51,17
EdmontonOilers,2001,38,28
FloridaPanthers,2001,22,44
LosAngelesKings,2001,40,27
MinnesotaWild,2001,26,35
MontrealCanadiens,2001,36,31
NashvillePredators,2001,28,41
NewJerseyDevils,2001,41,28
CarolinaHurricanes,1997,33,41
ChicagoBlackhawks,1997,30,39
ColoradoAvalanche,1997,39,26
DallasStars,1997,49,22
DetroitRedWings,1997,44,23
EdmontonOilers,1997,35,37
FloridaPanthers,1997,24,43
LosAngelesKings,1997,38,33
MontrealCanadiens,1997,37,32
NewJerseyDevils,1997,48,23
NewYorkIslanders,1997,30,41
NewYorkRangers,1997,25,39
OttawaSenators,1997,34,33
PhiladelphiaFlyers,1997,42,29
PhoenixCoyotes,1997,35,35
PittsburghPenguins,1997,40,24
SanJoseSharks,1997,34,38
St.LouisBlues,1997,45,29
TampaBayLightning,1997,17,55
TorontoMapleLeafs,1997,30,43
VancouverCanucks,1997,25,43
WashingtonCapitals,1997,40,30
MightyDucksofAnaheim,1998,35,34
BostonBruins,1998,39,30
BuffaloSabres,1998,37,28
AtlantaThrashers,1999,14,57
BostonBruins,1999,24,33
BuffaloSabres,1999,35,32
CalgaryFlames,1999,31,36
CarolinaHurricanes,1999,37,35
ChicagoBlackhawks,1999,33,37
ColoradoAvalanche,1999,42,28
DallasStars,1999,43,23
DetroitRedWings,1999,48,22
EdmontonOilers,1999,32,26
FloridaPanthers,1999,43,27
LosAngelesKings,1999,39,27
MontrealCanadiens,1999,35,34
NashvillePredators,1999,28,40
NewJerseyDevils,1999,45,24
NewYorkIslanders,1999,24,48
NewYorkRangers,1999,29,38
OttawaSenators,1999,41,28
PhiladelphiaFlyers,1999,45,22
PhoenixCoyotes,1999,39,31
PittsburghPenguins,1999,37,31
SanJoseSharks,1999,35,30
St.LouisBlues,1999,51,19
TampaBayLightning,1999,19,47
TorontoMapleLeafs,1999,45,27
LosAngelesKings,2002,33,37
MinnesotaWild,2002,42,29
MontrealCanadiens,2002,30,35
NashvillePredators,2002,27,35
NewJerseyDevils,2002,46,20
NewYorkIslanders,2002,35,34
NewYorkRangers,2002,32,36
OttawaSenators,2002,52,21
PhiladelphiaFlyers,2002,45,20
PhoenixCoyotes,2002,31,35
PittsburghPenguins,2002,27,44
SanJoseSharks,2002,28,37
St.LouisBlues,2002,41,24
TampaBayLightning,2002,36,25
TorontoMapleLeafs,2002,44,28
VancouverCanucks,2002,45,23
WashingtonCapitals,2002,39,29
MightyDucksofAnaheim,2003,29,35
AtlantaThrashers,2003,33,37
BostonBruins,2003,41,19
BuffaloSabres,2003,37,34
CalgaryFlames,2003,42,30
CarolinaHurricanes,2003,28,34
ColumbusBlueJackets,2003,25,45
ChicagoBlackhawks,2003,20,43
VancouverCanucks,1999,30,29
WashingtonCapitals,1999,44,24
MightyDucksofAnaheim,2000,25,41
AtlantaThrashers,2000,23,45
BostonBruins,2000,36,30
BuffaloSabres,2000,46,30
CalgaryFlames,2000,27,36
CarolinaHurricanes,2000,38,32
ColumbusBlueJackets,2000,28,39
ChicagoBlackhawks,2000,29,40
ColoradoAvalanche,2000,52,16
DallasStars,2000,48,24
DetroitRedWings,2000,49,20
EdmontonOilers,2000,39,28
FloridaPanthers,2000,22,38
LosAngelesKings,2000,38,28
MinnesotaWild,2000,25,39
MontrealCanadiens,2000,28,40
NashvillePredators,2000,34,36
